0.000000;-714.735941;-714.739943;-719.246085;-719.246085;-718.980002;-718.980001;-718.975998;-714.469856;-714.469856;-714.735940
0.005000;-780.470768;-780.470768;-779.717092;-779.713092;-778.122207;-778.122206;-778.122207;-778.875882;-778.879882;-780.470767
0.005000;-714.676722;-714.680726;-719.186977;-719.186977;-719.186977;-718.920865;-718.920864;-718.916860;-714.410609;-714.410608;-714.410609;-714.676720
0.010000;-780.480759;-780.480758;-779.727065;-779.723067;-779.723064;-778.132012;-778.132011;-778.132011;-778.885705;-778.889703;-778.889706;-780.480758
0.010000;-714.617494;-714.621502;-719.127881;-719.127882;-719.127882;-718.861737;-718.861735;-718.857728;-714.351349;-714.351348;-714.351348;-714.617493
0.015000;-780.490765;-780.490763;-779.737048;-779.733054;-779.733050;-778.141802;-778.141801;-778.141802;-778.895517;-778.899512;-778.899516;-780.490763
0.015000;-714.558258;-714.562272;-719.068796;-719.068799;-718.802617;-718.802616;-718.798601;-714.292077;-714.292075;-714.558257
0.020000;-780.500784;-780.500781;-779.747042;-779.743051;-778.151579;-778.151578;-778.151580;-778.905320;-778.909310;-780.500783
0.020000;-714.499015;-714.503054;-719.009723;-719.009727;-718.743505;-718.743503;-718.739464;-714.232795;-714.232790;-714.499013
0.025000;-780.510815;-780.510810;-779.757047;-779.753058;-778.161344;-778.161342;-778.161346;-778.915110;-778.919099;-780.510813
0.025000;-714.439874;-714.443865;-718.950660;-718.950666;-718.950666;-718.950665;-718.684400;-718.684395;-718.684288;-718.680297;-714.173502;-714.173495;-714.173495;-714.173497;-714.439762;-714.439766
0.030000;-780.520856;-780.520850;-779.767065;-779.763111;-779.763078;-779.763065;-778.171099;-778.171096;-778.171096;-778.171102;-778.924887;-778.928842;-778.928874;-778.928887;-780.520853;-780.520856
0.030000;-714.380645;-714.384633;-718.891607;-718.891616;-718.891616;-718.891614;-718.625302;-718.625299;-718.625161;-718.621173;-714.114199;-714.114190;-714.114190;-714.114192;-714.380504;-714.380507
0.035000;-780.530908;-780.530900;-779.777085;-779.773147;-779.773104;-779.773088;-778.180842;-778.180840;-778.180840;-778.180848;-778.934663;-778.938601;-778.938644;-778.938660;-780.530906;-780.530908
0.035000;-714.321402;-714.325385;-718.832563;-718.832575;-718.832575;-718.832572;-718.566211;-718.566048;-718.562065;-714.054886;-714.054875;-714.054875;-714.054878;-714.321239
0.040000;-780.540969;-780.540958;-779.787109;-779.783190;-779.783135;-779.783117;-778.190575;-778.190575;-778.190586;-778.944434;-778.948353;-778.948408;-778.948426;-780.540969
0.040000;-714.262152;-714.266131;-718.773528;-718.773542;-718.773542;-718.507127;-718.506942;-718.502963;-713.995566;-713.995552;-713.995552;-714.261967
0.045000;-780.551038;-780.551024;-779.797138;-779.793241;-779.793168;-778.200302;-778.200302;-778.200316;-778.954201;-778.958099;-778.958171;-780.551038
0.045000;-714.202943;-714.206917;-718.714501;-718.714519;-718.714519;-718.714516;-718.448050;-718.447795;-718.443821;-713.936237;-713.936219;-713.936219;-713.936222;-714.202688
0.050000;-780.561114;-780.561096;-779.807180;-779.803306;-779.803212;-779.803190;-778.210021;-778.210021;-778.210039;-778.963955;-778.967829;-778.967923;-778.967945;-780.561114
0.050000;-714.143680;-714.147649;-718.655482;-718.655503;-718.655503;-718.388979;-718.388702;-718.384734;-713.876900;-713.876879;-713.876879;-714.143403
0.055000;-780.571195;-780.571175;-779.817216;-779.813368;-779.813251;-778.219735;-778.219735;-778.219756;-778.973714;-778.977563;-778.977679;-780.571195
